,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,Khatanga,71.9667,102.5,246.79,98,56,4.07,RU,1618434625
181,Rehoboth,-23.3167,17.0833,290.77,26,0,2.73,NA,1618434396
182,Northam,51.0333,-4.2167,280.37,88,45,2.09,GB,1618434489
183,Igarka,67.4667,86.5833,262.02,95,100,2.94,RU,1618434672
184,Bubaque,11.2833,-15.8333,298.53,77,1,8.03,GW,1618434687
185,Marawi,7.9986,124.2928,297.04,86,100,1.79,PH,1618434703
186,The Valley,18.217,-63.0578,301.15,69,20,4.12,AI,1618434718
187,Yulara,-25.2406,130.9889,290.15,59,40,3.6,AU,1618434734
188,Bambous Virieux,-20.3428,57.7575,299.26,78,40,3.09,MU,1618434749
189,Nanortalik,60.1432,-45.2371,273.85,89,33,6.38,GL,1618434781
190,Kajaani,64.2273,27.7285,272.15,80,0,2.06,FI,1618434797
191,Kisangani,0.5167,25.2,298.15,88,20,2.06,CD,1618434828
192,Kruisfontein,-34.0033,24.7314,289.26,95,63,0.45,ZA,1618434844
193,Alyangula,-13.8483,136.4192,296.15,94,90,3.51,AU,1618434860
194,Marsh Harbour,26.5412,-77.0636,295.5,61,4,6.55,BS,1618434809
195,Laas,46.6166,10.7002,280.15,46,0,3.09,IT,1618434672
196,Terpinnya,46.9697,35.4197,281.48,85,100,4.69,UA,1618434907
197,Koumac,-20.5667,164.2833,298.68,84,80,2.15,NC,1618434923
198,Tres Arroyos,-38.3739,-60.2798,291.94,59,0,5.76,AR,1618434938
199,La Primavera,5.4906,-70.4092,297.72,87,100,3.13,CO,1618434954
200,Pontianak,-0.0333,109.3333,296.15,100,75,1.03,ID,1618434970
201,Nehe,48.4833,124.8333,273.21,71,4,2.25,CN,1618434985
202,Boa Vista,2.8197,-60.6733,303.15,66,75,4.63,BR,1618435001
203,Saint Paul Harbor,57.79,-152.4072,280.15,65,40,2.06,US,1618434732
204,Brejo da Madre de Deus,-8.1458,-36.3711,295.11,89,99,3.17,BR,1618434810
205,Udachny,66.4167,112.4,254.5,99,83,1.45,RU,1618435062
206,Shaunavon,49.6501,-108.4181,278.15,56,92,3.6,CA,1618435078
207,Ngunguru,-35.6167,174.5,290.93,82,9,0.45,NZ,1618435094
208,Soe,-9.8607,124.284,289.68,69,18,1.29,ID,1618435109
209,Guerrero Negro,27.9769,-114.0611,291.63,56,94,8.22,MX,1618435125
210,Lucknow,26.85,80.9167,299.15,36,51,2.19,IN,1618434918
211,Meulaboh,4.1363,96.1285,298.02,87,77,1.11,ID,1618435156
212,Aksu,41.1231,80.2644,287.39,30,52,2.41,CN,1618435171
213,Eydhafushi,5.1033,73.0708,301.05,74,33,3.08,MV,1618435187
214,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,300.93,56,79,0.89,AR,1618435203
215,Pecos,31.4229,-103.4932,294.15,40,1,1.54,US,1618435219
216,Misterbianco,37.5341,14.9538,288.15,82,75,2.57,IT,1618435235
217,Kasongo,-4.45,26.6667,292.94,98,97,1.45,CD,1618435265
218,Esik,43.3552,77.4525,281.15,66,20,3.0,KZ,1618435296
219,Acapulco de Juárez,16.8634,-99.8901,302.15,70,90,5.14,MX,1618435148
220,Artyom,40.4723,50.333,283.15,81,0,1.03,AZ,1618435327
221,Pevek,69.7008,170.3133,252.39,87,38,2.15,RU,1618435343
222,Hibbing,47.4272,-92.9377,278.15,87,90,5.66,US,1618435358
223,Foindu,7.4108,-11.5422,298.81,88,97,0.84,SL,1618435375
224,Pisco,-13.7,-76.2167,296.15,64,0,2.06,PE,1618435390
225,Ostrovnoy,68.0531,39.5131,271.73,87,64,11.8,RU,1618435421
226,Ha Tinh,18.3333,105.9,296.66,95,96,0.97,VN,1618435437
227,Sisimiut,66.9395,-53.6735,264.17,79,100,9.19,GL,1618435468
228,Airai,-8.9266,125.4092,286.11,63,34,0.84,TL,1618435499
229,Praia da Vitória,38.7333,-27.0667,290.15,82,20,1.29,PT,1618435514
230,Khorixas,-20.3667,14.9667,296.75,28,1,4.74,NA,1618435530
231,Ternate,0.8,127.4,300.14,77,96,2.74,ID,1618435545
232,Sioux Lookout,50.1001,-91.917,272.15,86,90,4.12,CA,1618435561
233,Segezha,63.7415,34.3222,272.59,84,9,3.44,RU,1618435576
234,Carbonia,39.1672,8.5222,286.15,82,20,2.06,IT,1618435592
235,Lysyye Gory,51.5506,44.8414,283.94,61,86,3.81,RU,1618435608
236,Puerto Baquerizo Moreno,-0.9,-89.6,301.15,83,75,3.09,EC,1618435623
237,Santa Rosalía,27.3167,-112.2833,299.23,30,59,0.9,MX,1618435639
238,Oruzgan,32.8333,66.0,285.86,67,78,1.35,AF,1618435655
239,Egvekinot,66.3167,-179.1667,261.03,80,21,2.16,RU,1618435671
240,Aboso,5.3617,-1.9473,298.42,88,100,0.9,GH,1618435687
241,Cuiluan,47.72,128.648,268.74,66,97,1.07,CN,1618435702
242,Tilichiki,60.4667,166.1,262.07,86,100,3.16,RU,1618435495
243,Sitka,57.0531,-135.33,280.15,76,90,2.06,US,1618435733
244,Tatvan,38.5067,42.2817,277.08,66,0,1.46,TR,1618435749
245,San Vicente,-26.6167,-54.1333,292.66,96,99,0.96,AR,1618435764
246,Catuday,16.2923,119.8062,299.2,69,92,1.21,PH,1618435780
247,Lagoa,39.05,-27.9833,289.21,88,100,5.05,PT,1618435796
248,Vila Velha,-20.3297,-40.2925,298.15,65,0,6.17,BR,1618435803
249,São Filipe,14.8961,-24.4956,298.35,55,50,6.41,CV,1618435826
250,Dārāb,28.7519,54.5444,293.28,46,22,0.58,IR,1618435842
251,Olinda,-8.0089,-34.8553,300.15,74,40,3.6,BR,1618435857
252,Margate,51.3813,1.3862,278.71,67,12,1.34,GB,1618435873
253,Ambilobe,-13.2,49.05,295.34,94,74,1.2,MG,1618435889
254,Hokitika,-42.7167,170.9667,286.79,83,87,2.13,NZ,1618435904
255,Pinawa,50.1489,-95.8811,274.31,92,100,3.59,CA,1618435920
256,Aquiraz,-3.9014,-38.3911,301.15,83,20,5.14,BR,1618435935
257,Sekoma,-24.4,23.8833,293.78,30,1,1.49,BW,1618435966
258,Balikpapan,-1.2675,116.8289,296.94,91,92,1.97,ID,1618435982
259,Syracuse,37.0881,15.2792,288.15,77,75,1.03,IT,1618435997
260,Victor Harbor,-35.5667,138.6167,286.48,77,96,4.13,AU,1618436013
261,Jiexiu,37.0244,111.9125,283.28,52,70,4.73,CN,1618436028
262,Kirakira,-10.4544,161.9205,301.64,76,64,2.2,SB,1618436059
263,Ribeira Grande,38.5167,-28.7,290.15,94,40,2.57,PT,1618436075
264,Inírida,3.8653,-67.9239,296.31,98,100,1.36,CO,1618436090
265,Noumea,-22.2763,166.4572,298.15,88,90,4.63,NC,1618435675
266,Rawson,-43.3002,-65.1023,293.57,47,46,4.72,AR,1618435851
267,Samarai,-10.6167,150.6667,299.64,82,100,5.74,PG,1618436137
268,Honningsvåg,70.9821,25.9704,273.15,80,75,10.8,NO,1618436152
269,Te Anau,-45.4167,167.7167,284.0,86,92,2.49,NZ,1618436168
270,Kieta,-6.2167,155.6333,300.6,79,92,1.3,PG,1618436183
271,Aktash,50.3,87.7333,264.79,90,73,0.94,RU,1618436199
272,Kyshtovka,56.555,76.6271,275.76,99,100,1.73,RU,1618436215
273,Ijuí,-28.3878,-53.9147,293.15,94,100,3.6,BR,1618436060
274,Zyryanka,65.75,150.85,254.9,93,85,2.48,RU,1618436245
275,Charlottesville,38.0293,-78.4767,291.15,68,1,4.63,US,1618436261
276,Bodaybo,57.8506,114.1933,268.3,95,100,1.47,RU,1618436277
277,Alto Longá,-5.2511,-42.2103,296.26,95,100,2.05,BR,1618436292
278,Solnechnyy,50.7214,136.6319,268.68,64,96,1.43,RU,1618436308
279,Hays,30.0502,-98.0336,300.93,59,100,1.34,US,1618436323
280,Manyana,-23.4,21.7167,292.35,32,0,2.77,BW,1618436339
